Info 167  [13:11:26.677] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 168  [13:11:27.283] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 169  [13:11:27.388] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 50 structureChanged: false Elapsed: 105ms
Info 170  [13:11:27.388] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 171  [13:11:29.734] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 172  [13:11:29.855] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 51 structureChanged: false Elapsed: 121ms
Info 173  [13:11:29.856] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 174  [13:11:30.903] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 175  [13:11:31.8] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 52 structureChanged: false Elapsed: 105ms
Info 176  [13:11:31.9] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 177  [13:11:31.515] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 178  [13:11:31.618] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 53 structureChanged: false Elapsed: 102ms
Info 179  [13:11:31.618] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 180  [13:11:31.672] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 181  [13:11:31.721] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 54 structureChanged: false Elapsed: 48ms
Info 182  [13:11:31.721] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 183  [13:11:32.582] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 184  [13:11:32.684] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 55 structureChanged: false Elapsed: 102ms
Info 185  [13:11:32.684] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 186  [13:11:33.422] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 187  [13:11:33.529] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 56 structureChanged: false Elapsed: 107ms
Info 188  [13:11:33.529] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 189  [13:11:34.76] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 190  [13:11:34.189] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 57 structureChanged: false Elapsed: 113ms
Info 191  [13:11:34.189] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 192  [13:11:34.192] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 193  [13:11:34.241] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 58 structureChanged: false Elapsed: 49ms
Info 194  [13:11:34.241] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 195  [13:11:35.16] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 196  [13:11:35.151] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 59 structureChanged: false Elapsed: 135ms
Info 197  [13:11:35.151] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 198  [13:11:35.323] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 199  [13:11:35.429] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 60 structureChanged: false Elapsed: 106ms
Info 200  [13:11:35.429] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 201  [13:11:35.742] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 202  [13:11:35.862] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 61 structureChanged: false Elapsed: 120ms
Info 203  [13:11:35.862] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 204  [13:11:35.872] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 205  [13:11:35.919] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 62 structureChanged: false Elapsed: 46ms
Info 206  [13:11:35.919] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 207  [13:12:7.402] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 208  [13:12:7.554] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 63 structureChanged: false Elapsed: 152ms
Info 209  [13:12:7.554] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 210  [13:12:20.71] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 211  [13:12:20.271] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 64 structureChanged: false Elapsed: 200ms
Info 212  [13:12:20.271] Different program with same set of files:: oldProgram.structureIsReused:: 2
